center_x,center_y,rect_x,rect_y,width,height,score
652,64,648,56,11,17,66.54676258992805
329,116,325,109,10,17,63.976
25,133,22,129,7,10,50.907407407407405
944,141,939,133,11,19,66.24516129032259
1297,143,1294,139,8,10,81.01639344262296
165,153,162,149,8,10,54.421052631578945
46,160,43,156,8,11,49.57971014492753
208,166,204,160,9,14,58.43010752688172
235,197,230,187,14,24,90.03543307086613
140,194,136,190,9,10,50.55737704918033
824,244,820,241,10,9,46.29824561403509
540,256,537,250,9,13,72.94318181818181
386,274,382,265,10,19,65.0863309352518
248,339,244,331,10,18,71.18656716417911
525,336,521,330,9,14,67.70833333333333
215,357,212,353,7,10,65.2962962962963
956,360,952,355,11,12,102.10227272727272
33,371,27,358,14,27,96.45874587458746
668,400,664,394,10,14,51.94845360824742
198,415,194,408,11,16,152.015625
245,421,240,414,11,16,67.70422535211267
305,431,301,423,11,18,65.992
1268,434,1265,430,8,10,52.54385964912281
47,442,44,437,8,11,53.41269841269841
32,472,28,465,9,16,57.23853211009174
283,473,279,464,10,20,65.18987341772151
257,483,251,470,14,28,108.840830449827
221,491,217,482,11,20,75.2
35,496,32,492,8,10,55.724137931034484
818,513,815,509,7,10,62.66666666666667
524,533,521,528,8,11,56.046875
12,539,7,531,11,17,57.2962962962963
732,562,728,552,10,22,66.9320987654321
376,610,370,605,14,10,62.01052631578948
283,611,279,606,9,12,58.04166666666667
356,626,351,618,12,17,56.75968992248062
24,632,19,623,11,21,63.05
382,640,378,634,10,13,64.81443298969072
46,650,43,645,9,12,52.46052631578947
328,667,325,662,8,12,59.76315789473684
42,695,35,682,15,27,80.7072072072072
634,719,627,705,15,29,130.6727272727273
599,727,594,715,12,25,90.97379912663754
733,738,729,731,10,15,69.42718446601941
505,756,502,749,10,16,62.04310344827586
756,789,752,779,11,22,86.12962962962962
182,803,177,792,13,24,64.07909604519774
253,797,250,793,8,10,61.54385964912281
507,801,504,797,8,10,67.85454545454546
157,806,154,801,8,11,54.65625
162,820,159,816,7,10,47.87037037037037
361,831,358,826,8,11,100.70588235294117
398,837,393,827,12,22,72.73224043715847
235,844,229,831,14,27,102.13584905660377
166,842,160,833,14,19,72.44134078212291
266,837,262,832,10,13,54.935483870967744
321,847,318,839,8,18,57.54954954954955
493,848,490,842,9,13,51.51219512195122
299,854,296,851,8,9,48.509433962264154
781,867,778,862,8,11,62.14754098360656
123,875,120,870,8,12,58.710144927536234
78,886,74,880,9,14,55.68316831683168
225,929,220,921,11,18,63.25
346,936,343,928,7,17,55.6116504854369
466,961,463,956,8,12,59.042857142857144
801,1017,797,1010,10,15,59.70754716981132
275,1020,272,1016,9,10,49.507246376811594
521,1047,517,1042,9,13,55.35443037974683
559,1062,551,1049,17,26,87.53465346534654
227,1063,224,1059,8,10,53.14545454545454
454,1080,450,1074,9,13,60.56
1324,1083,1321,1078,8,11,54.07692307692308
661,1114,658,1109,8,12,51.01428571428572
787,1123,784,1113,9,22,62.263565891472865
471,1160,466,1152,11,18,69.8473282442748
1185,1177,1182,1173,8,10,51.803278688524586
